duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,class1
119364082,119364082,119338343,9,17,58714597,58776480,32702.488219,20131.299426,80.258649,70436.749976,0,58714597,12461.017016,845678.238767,58776675,59700000,60561891,1262338.339482,58343493,58500000,58714597,262410.154924,VPN-BROWSING
93952224,93736153,93738835,6,7,45211965,45220727,37645.041365,28319.889728,61.754791,49509.024927,1,45006375,16195.866919,835567.164239,45211965,46900000,48524188,2342095.344102,44997633,45000000,45006375,6181.5274,VPN-BROWSING
73934090,73802530,73804692,3,14,27749148,27746116,55117.647498,25189.314676,57.767668,52235.092094,3,27617038,17314.775176,518176.18499,1498361,9157562.25,27923646,9267157.398906,1115996,7350661.75,27617038,10100000,VPN-BROWSING
42933658,42803851,42933658,0,0,5957694,5958561,31706.556296,16055.967838,93.772583,83286.940051,-9,5828435,10666.747329,162363.675416,1630161,5265231,11355159,3133671.36515,1308911,3334209.875,5828435,1382746.964025,VPN-BROWSING
270207,203681,244006,15,10,27147,66572,593.822157,363.104167,3763.781101,3479554.563723,3,66526,265.951772,2648.293598,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
118033511,118033511,118007383,23,10,58938340,59002394,379528.974277,172022.424198,8.463698,7954.851059,0,58938340,118270.051102,2629948.246884,59002735,59000000,59004834,1484.216797,58618250,58800000,58938340,226337.809588,VPN-BROWSING
55595001,55424950,55464526,32,23,23772662,23731260,170015.184049,88038.930159,17.231765,15322.564703,8,23598957,58093,1023972.523146,15447930,18400000,24327021,5106593.464298,14941349,17800000,23598957,4979308.249551,VPN-BROWSING
70879295,55916114,70739980,13,10,45018141,45157574,122354.73523,123455.462478,14.559964,11238.274873,2,45018141,68748.103783,1494816.197122,10738389,23600000,45177725,18800000,7696125,22500000,45018141,19800000,VPN-BROWSING
1314540,1314535,1183635,7,17,132666,131525,4095.124611,2320.852941,633.681744,547879.866721,1,131289,1579.975962,11183.814208,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
74937639,74937639,74873632,8,11,58039272,58039496,291586.143969,136880.497258,10.75561,9322.938504,3,58014039,93090.234783,2113450.624648,1415482,25000000,58204118,29600000,1361674,24900000,58014039,29500000,VPN-BROWSING
